code,description
M.0.EL,National Total excluding LULUCF
1,Energy
1.A,Fuel Combustion Activities
1.B,Fugitive Emissions from Fuels
1.B.1,Solid Fuels
1.B.2,Oil and Natural Gas
1.B.3,Other Emissions from Energy Production
1.C,Carbon Dioxide Transport and Storage (currently no data available)
2,Industrial Processes and Product Use (IPPU)
2.A,Mineral Industry
2.B,Chemical Industry
2.C,Metal Industry
2.D,Non-Energy Products from Fuels and Solvent Use
2.E,Electronics Industry (no data available as the category is only used for fluorinated gases which are only resolved at the level of category IPC2)
2 F,Product uses as Substitutes for Ozone Depleting Substances (no data available as the category is only used for fluorinated gases which are only resolved at the level of category IPC2)
2.G,Other Product Manufacture and Use
2.H,Other
M.AG,"Agriculture, sum of IPC3A and IPCMAGELV"
3.A,Livestock
M.AG.ELV,Agriculture excluding Livestock
4,Waste
5,Other
