date,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,4,9.3,14.6,18.8,22.2,25.5,28.5,30.9,32.5,33.6,34.3,34.5,34.8,34.4,33.7,32.9,31.8,30.1,28.1,25.6,22.5,19.3,16.2,12.2,7.8,3.8,1.4,0.4,0.1,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,3,7.2,11.4,14.9,18.1,20.9,23,25.1,26.7,28.2,28.8,29.6,30.1,30.1,29.8,28.9,28,26.8,24.9,22.9,20.5,17.6,14.4,10.6,6.5,3.3,1.3,0.4,0.1,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.8,6.6,10.9,14.4,17.6,19.9,22.4,24.5,26.1,26.9,27.6,28,28,27.7,27.2,26.3,24.7,23.3,21.9,19.7,17.3,14.6,11.9,8.7,5.5,2.7,1.1,0.3,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2.9,6.7,11,14.6,17.8,19.4,21.3,22.8,23.9,24.7,25.1,25.4,24.9,24,23.2,22.4,22.3,21.6,19.8,18,16.3,13.8,10.9,7.6,4.6,2.1,0.8,0.2,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,2.2,5.1,8.1,10.9,12.9,15.1,17.6,19.4,20.4,21.4,22.8,23.7,23.5,23.4,22.9,22.3,20.6,19,17.1,14.9,12.5,10.3,8.5,5.9,3.1,1.3,0.4,0.2,0.1,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.4,3.9,6.7,9.2,11.4,13,14.7,16.1,17.8,19,19.7,21.3,21.5,21.6,21.3,20.4,19.4,17.8,16.6,15.2,13.9,11.6,9.4,7,4.7,2.5,1,0.3,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.7,4.1,6.9,9.8,12.4,15.1,17.4,18.7,21,21.9,23.4,23.8,24.2,24,23.3,22.5,21.7,20.8,19.9,17.8,15.8,12.6,10.1,7.7,5.2,2.7,1.1,0.3,0.1,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2,4.9,8.7,12.1,15.4,17.8,20.6,22.4,24.1,25,25.9,26.1,26.1,26.3,25.5,25.2,24.5,23.3,22,20.5,18.3,15.6,12.8,9.6,6,2.9,1.1,0.4,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.8,4.8,8.3,11.7,14.3,17.4,20,22.1,23.4,24.6,25.2,25.6,25.7,25.3,24.7,24.2,23.6,22.3,20.4,18.3,15.8,12.9,10.3,7.5,4.6,2.2,0.9,0.3,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.8,4.5,7.8,10.9,13.2,15.5,17.3,18.8,19.9,20.9,21.5,21.4,21,20.2,19.7,19,18.3,17.4,16,14.4,12.8,10.6,8.5,6,3.5,1.5,0.6,0.3,0.1,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2,5.3,8.9,11.9,14.5,17,19,20.8,22.9,24.2,25.4,26.4,26.3,25.3,25.2,25.1,24.5,23.3,22.3,21,19.4,16.9,13.8,10.5,7.1,3.9,1.5,0.4,0.1,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.6,4.7,8.4,11.9,15.1,17.9,20.2,21.8,23.7,25.8,26.3,26.1,25.6,26.3,25.9,25.3,24.3,23.6,22.7,20.9,19.1,16.7,13.2,10,6.7,3.7,1.5,0.4,0.1,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.4,4.1,7.9,11.5,14.6,18.1,20.6,22.4,23.6,24.4,24.8,25.3,26.2,26.4,25.8,25.3,24.6,23.5,22.4,20.3,17.5,14.7,12.2,9.2,6,3.1,1.2,0.4,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.5,4.5,8.1,11.5,14.3,17.4,19.4,20.9,22.2,23.4,23.9,24.7,24.6,24.3,23.7,22.9,22.2,21.1,19.4,18.2,16.4,13.9,11.5,8.3,5.3,2.8,1.2,0.4,0.1,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.4,4.3,7.6,10.5,12.7,14.5,16.8,19.3,20.7,22.3,23.1,23.8,23.8,22.9,22.3,21.5,20.8,19,16.8,14.6,12.1,10.6,9.1,6.4,4.4,2.2,0.9,0.3,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1.3,3.7,7,9.6,12,14.5,16.1,17.4,18.4,19.1,19.7,20,20.2,20.5,20.8,20.1,20.5,19.3,18.5,17.7,16.3,13.5,11.1,8.6,5.9,3.1,1.3,0.4,0.1,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.4,4.1,7.2,10.8,13.6,15.9,17.8,19.2,20.4,21.2,21.8,22.7,23.5,24.2,23.7,23.8,22.9,22.3,19.8,18,16.2,14.4,12,9.1,6.2,3.4,1.4,0.4,0.1,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,3.7,7.5,10.8,13.6,15.9,18.6,21.5,23.2,24.7,25.5,26,25.6,25.8,25.7,25.2,24.3,23.3,22.2,20,16.7,14.5,12.1,9.4,6.1,3.2,1.4,0.5,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.4,5,9.4,13.1,16,18.7,21.2,22.5,23.3,23.8,24.4,25.3,25,24.3,24.3,23.6,21.6,19.1,17,15.1,13.2,11.4,9.2,6.6,4.1,2,0.7,0.2,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,3.3,6,8.1,9.9,12.1,14.3,16.6,18.6,19.6,20.5,20.7,20.3,20.1,18.5,16.7,15.9,15,12.8,11.9,10,7.8,6.7,5.2,3.6,2.2,1,0.4,0.2,0.2,0.2,0.2,0.2,0.2
2020-01-21,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,1.3,3.9,7.5,11.2,14.3,17.4,20.4,23,24.9,25.9,26.8,27.1,26.5,26.1,25.4,24.6,23.6,22.7,21.6,19.5,16.9,14.6,12.4,9.6,6.1,3.4,1.4,0.5,0.2,0.2,0.2,0.2,0.2,0.2
2020-01-22,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.4,1.6,4.4,8.1,11.2,13.8,16.1,18.8,21.2,22.4,23.7,23.7,23.5,23,22.5,21.6,20.4,19,16.7,14.9,12.9,10.5,8.3,6.5,4.5,2.6,1.4,0.5,0.1,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,2.2,4.2,6.8,9.3,11.3,13.4,15.1,16.5,17.8,17.5,17.3,17.2,17.3,17.7,18.2,17.4,16.2,15.1,13.3,10.9,9.6,7.8,5.9,4.1,2.2,1,0.3,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,3.4,6.4,9.1,11.7,14.7,16.9,18.5,18.7,19.8,20.8,21.2,21.8,22.4,22.3,21.8,21.6,20.8,19.8,17.9,15.9,13.4,10.9,8.6,6,3.2,1.2,0.3,0,0,0,0,0,0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.2,3.5,6.6,9.6,12.8,15.3,18.3,20.2,21.9,23,23.9,24.8,25.7,25.1,24.5,23,21.4,20.2,19,17.5,15.4,13.4,11.2,9,6.1,3.3,1.3,0.4,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1.3,4.2,7.7,11.2,14.9,17.1,18.9,20.9,23.8,24.9,25.6,25.7,25.5,25.8,25.2,24.4,23.3,22.1,20,18.9,16.9,14.1,11.2,8.7,5.8,2.9,1.1,0.3,0,0,0,0,0,0
